Number of Problems:  168
      Number       Omega    Diff/Rad         Dir        Body        Mode
           1       0.500        Diff       0.000         ---         ---
           2       0.500         Rad         ---           1           1
           3       0.500         Rad         ---           1           2
           4       0.500         Rad         ---           1           3
           5       0.500         Rad         ---           1           4
           6       0.500         Rad         ---           1           5
           7       0.500         Rad         ---           1           6
           8       0.543        Diff       0.000         ---         ---
           9       0.543         Rad         ---           1           1
          10       0.543         Rad         ---           1           2
          11       0.543         Rad         ---           1           3
          12       0.543         Rad         ---           1           4
          13       0.543         Rad         ---           1           5
          14       0.543         Rad         ---           1           6
          15       0.587        Diff       0.000         ---         ---
          16       0.587         Rad         ---           1           1
          17       0.587         Rad         ---           1           2
          18       0.587         Rad         ---           1           3
          19       0.587         Rad         ---           1           4
          20       0.587         Rad         ---           1           5
          21       0.587         Rad         ---           1           6
          22       0.630        Diff       0.000         ---         ---
          23       0.630         Rad         ---           1           1
          24       0.630         Rad         ---           1           2
          25       0.630         Rad         ---           1           3
          26       0.630         Rad         ---           1           4
          27       0.630         Rad         ---           1           5
          28       0.630         Rad         ---           1           6
          29       0.674        Diff       0.000         ---         ---
          30       0.674         Rad         ---           1           1
          31       0.674         Rad         ---           1           2
          32       0.674         Rad         ---           1           3
          33       0.674         Rad         ---           1           4
          34       0.674         Rad         ---           1           5
          35       0.674         Rad         ---           1           6
          36       0.717        Diff       0.000         ---         ---
          37       0.717         Rad         ---           1           1
          38       0.717         Rad         ---           1           2
          39       0.717         Rad         ---           1           3
          40       0.717         Rad         ---           1           4
          41       0.717         Rad         ---           1           5
          42       0.717         Rad         ---           1           6
          43       0.761        Diff       0.000         ---         ---
          44       0.761         Rad         ---           1           1
          45       0.761         Rad         ---           1           2
          46       0.761         Rad         ---           1           3
          47       0.761         Rad         ---           1           4
          48       0.761         Rad         ---           1           5
          49       0.761         Rad         ---           1           6
          50       0.804        Diff       0.000         ---         ---
          51       0.804         Rad         ---           1           1
          52       0.804         Rad         ---           1           2
          53       0.804         Rad         ---           1           3
          54       0.804         Rad         ---           1           4
          55       0.804         Rad         ---           1           5
          56       0.804         Rad         ---           1           6
          57       0.848        Diff       0.000         ---         ---
          58       0.848         Rad         ---           1           1
          59       0.848         Rad         ---           1           2
          60       0.848         Rad         ---           1           3
          61       0.848         Rad         ---           1           4
          62       0.848         Rad         ---           1           5
          63       0.848         Rad         ---           1           6
          64       0.891        Diff       0.000         ---         ---
          65       0.891         Rad         ---           1           1
          66       0.891         Rad         ---           1           2
          67       0.891         Rad         ---           1           3
          68       0.891         Rad         ---           1           4
          69       0.891         Rad         ---           1           5
          70       0.891         Rad         ---           1           6
          71       0.935        Diff       0.000         ---         ---
          72       0.935         Rad         ---           1           1
          73       0.935         Rad         ---           1           2
          74       0.935         Rad         ---           1           3
          75       0.935         Rad         ---           1           4
          76       0.935         Rad         ---           1           5
          77       0.935         Rad         ---           1           6
          78       0.978        Diff       0.000         ---         ---
          79       0.978         Rad         ---           1           1
          80       0.978         Rad         ---           1           2
          81       0.978         Rad         ---           1           3
          82       0.978         Rad         ---           1           4
          83       0.978         Rad         ---           1           5
          84       0.978         Rad         ---           1           6
          85       1.022        Diff       0.000         ---         ---
          86       1.022         Rad         ---           1           1
          87       1.022         Rad         ---           1           2
          88       1.022         Rad         ---           1           3
          89       1.022         Rad         ---           1           4
          90       1.022         Rad         ---           1           5
          91       1.022         Rad         ---           1           6
          92       1.065        Diff       0.000         ---         ---
          93       1.065         Rad         ---           1           1
          94       1.065         Rad         ---           1           2
          95       1.065         Rad         ---           1           3
          96       1.065         Rad         ---           1           4
          97       1.065         Rad         ---           1           5
          98       1.065         Rad         ---           1           6
          99       1.109        Diff       0.000         ---         ---
         100       1.109         Rad         ---           1           1
         101       1.109         Rad         ---           1           2
         102       1.109         Rad         ---           1           3
         103       1.109         Rad         ---           1           4
         104       1.109         Rad         ---           1           5
         105       1.109         Rad         ---           1           6
         106       1.152        Diff       0.000         ---         ---
         107       1.152         Rad         ---           1           1
         108       1.152         Rad         ---           1           2
         109       1.152         Rad         ---           1           3
         110       1.152         Rad         ---           1           4
         111       1.152         Rad         ---           1           5
         112       1.152         Rad         ---           1           6
         113       1.196        Diff       0.000         ---         ---
         114       1.196         Rad         ---           1           1
         115       1.196         Rad         ---           1           2
         116       1.196         Rad         ---           1           3
         117       1.196         Rad         ---           1           4
         118       1.196         Rad         ---           1           5
         119       1.196         Rad         ---           1           6
         120       1.239        Diff       0.000         ---         ---
         121       1.239         Rad         ---           1           1
         122       1.239         Rad         ---           1           2
         123       1.239         Rad         ---           1           3
         124       1.239         Rad         ---           1           4
