 VARIABLES="X" "Y" "Z" "abs(eta) (m)" "angle(phi) (rad)" "PRE1" "PRE2"
ZONE N=   3200 ,E =    3136 ,F=FEPOINT,ET=QUADRILATERAL
  0.1100000E+02  0.0000000E+00  0.0000000E+00  0.1313393E+00  0.2282305E+01  0.8576153E-01 -0.9947351E-01
  0.1094700E+02  0.1078190E+01  0.0000000E+00  0.1193011E+00  0.2323604E+01  0.8156505E-01 -0.8706264E-01
  0.1078860E+02  0.2145990E+01  0.0000000E+00  0.1061794E+00  0.2384543E+01  0.7717814E-01 -0.7292192E-01
  0.1052630E+02  0.3193130E+01  0.0000000E+00  0.9287833E-01  0.2470890E+01  0.7275952E-01 -0.5772725E-01
  0.1016270E+02  0.4209520E+01  0.0000000E+00  0.7987662E-01  0.2600217E+01  0.6845431E-01 -0.4116165E-01
  0.9701130E+01  0.5185360E+01  0.0000000E+00  0.6854522E-01  0.2792187E+01  0.6440346E-01 -0.2346575E-01
  0.9146170E+01  0.6111270E+01  0.0000000E+00  0.6091410E-01  0.3064569E+01  0.6073350E-01 -0.4687171E-02
  0.8503110E+01  0.6978330E+01  0.0000000E+00  0.5932771E-01 -0.2891888E+01  0.5748769E-01  0.1466093E-01
  0.7778170E+01  0.7778170E+01  0.0000000E+00  0.6482791E-01 -0.2579006E+01  0.5483652E-01  0.3457766E-01
  0.6978330E+01  0.8503110E+01  0.0000000E+00  0.7615992E-01 -0.2337587E+01  0.5284186E-01  0.5484588E-01
  0.6111270E+01  0.9146170E+01  0.0000000E+00  0.9125876E-01 -0.2171104E+01  0.5155174E-01  0.7530325E-01
  0.5185360E+01  0.9701130E+01  0.0000000E+00  0.1083789E+00 -0.2059438E+01  0.5087597E-01  0.9569550E-01
  0.4209520E+01  0.1016270E+02  0.0000000E+00  0.1264138E+00 -0.1985281E+01  0.5090920E-01  0.1157096E+00
  0.3193130E+01  0.1052630E+02  0.0000000E+00  0.1447166E+00 -0.1935411E+01  0.5160446E-01  0.1352031E+00
