 VARIABLES="X" "Y" "Z" "abs(eta) (m)" "angle(phi) (rad)" "PRE1" "PRE2"
ZONE N=   3200 ,E =    3136 ,F=FEPOINT,ET=QUADRILATERAL
  0.1672760E+02  0.0000000E+00  0.0000000E+00  0.1907615E+00  0.1906927E+01  0.6292009E-01 -0.1800861E+00
  0.1664710E+02  0.1639590E+01  0.0000000E+00  0.1911309E+00  0.1905676E+01  0.6281622E-01 -0.1805135E+00
  0.1640620E+02  0.3263390E+01  0.0000000E+00  0.1921001E+00  0.1902192E+01  0.6250229E-01 -0.1816477E+00
  0.1600730E+02  0.4855770E+01  0.0000000E+00  0.1933397E+00  0.1896989E+01  0.6195358E-01 -0.1831447E+00
  0.1545430E+02  0.6401380E+01  0.0000000E+00  0.1943023E+00  0.1890864E+01  0.6113346E-01 -0.1844345E+00
  0.1475240E+02  0.7885340E+01  0.0000000E+00  0.1925986E+00  0.1886936E+01  0.5987885E-01 -0.1830539E+00
  0.1390850E+02  0.9293360E+01  0.0000000E+00  0.1887948E+00  0.1884382E+01  0.5823785E-01 -0.1795879E+00
  0.1293060E+02  0.1061190E+02  0.0000000E+00  0.1850619E+00  0.1880647E+01  0.5642832E-01 -0.1762491E+00
  0.1182820E+02  0.1182820E+02  0.0000000E+00  0.1813366E+00  0.1875855E+01  0.5446424E-01 -0.1729642E+00
  0.1061190E+02  0.1293060E+02  0.0000000E+00  0.1763462E+00  0.1871563E+01  0.5224295E-01 -0.1684299E+00
  0.9293360E+01  0.1390850E+02  0.0000000E+00  0.1693364E+00  0.1867985E+01  0.4958728E-01 -0.1619134E+00
  0.7885330E+01  0.1475240E+02  0.0000000E+00  0.1614982E+00  0.1864349E+01  0.4673021E-01 -0.1545896E+00
  0.6401380E+01  0.1545430E+02  0.0000000E+00  0.1478568E+00  0.1867604E+01  0.4324346E-01 -0.1413918E+00
  0.4855770E+01  0.1600730E+02  0.0000000E+00  0.1268290E+00  0.1882831E+01  0.3893595E-01 -0.1207045E+00
  0.3263390E+01  0.1640620E+02  0.0000000E+00  0.9116627E-01  0.1940716E+01  0.3296029E-01 -0.8499946E-01
  0.1639590E+01  0.1664710E+02  0.0000000E+00  0.3723256E-01  0.2305364E+01  0.2495572E-01 -0.2763105E-01
 -0.7311870E-06  0.1672760E+02  0.0000000E+00  0.3688388E-01 -0.2060123E+01  0.1733660E-01  0.3255554E-01
 -0.1639590E+01  0.1664710E+02  0.0000000E+00  0.9344312E-01 -0.1685849E+01  0.1072720E-01  0.9282534E-01
 -0.3263390E+01  0.1640620E+02  0.0000000E+00  0.1504914E+00 -0.1603456E+01  0.4914102E-02  0.1504112E+00
 -0.4855770E+01  0.1600730E+02  0.0000000E+00  0.1863201E+00 -0.1570831E+01  0.6476670E-05  0.1863201E+00
 -0.6401380E+01  0.1545430E+02  0.0000000E+00  0.2071994E+00 -0.1549423E+01 -0.4428152E-02  0.2071521E+00
 -0.7885340E+01  0.1475240E+02  0.0000000E+00  0.2206224E+00 -0.1532435E+01 -0.8461352E-02  0.2204601E+00
 -0.9293360E+01  0.1390850E+02  0.0000000E+00  0.2281888E+00 -0.1517928E+01 -0.1205829E-01  0.2278700E+00
 -0.1061190E+02  0.1293060E+02  0.0000000E+00  0.2349647E+00 -0.1505221E+01 -0.1539682E-01  0.2344597E+00
 -0.1182820E+02  0.1182820E+02  0.0000000E+00  0.2397665E+00 -0.1493564E+01 -0.1849929E-01  0.2390517E+00
 -0.1293060E+02  0.1061190E+02  0.0000000E+00  0.2433143E+00 -0.1483325E+01 -0.2125586E-01  0.2423841E+00
 -0.1390850E+02  0.9293360E+01  0.0000000E+00  0.2469022E+00 -0.1474707E+01 -0.2368805E-01  0.2457632E+00
