 VARIABLES="X" "Y" "Z" "abs(eta) (m)" "angle(phi) (rad)" "PRE1" "PRE2"
ZONE N=   3200 ,E =    3136 ,F=FEPOINT,ET=QUADRILATERAL
  0.1530690E+02  0.0000000E+00  0.0000000E+00  0.2705542E+00  0.2794649E+01  0.2544336E+00 -0.9199524E-01
  0.1523320E+02  0.1500340E+01  0.0000000E+00  0.2783203E+00  0.2797284E+01  0.2619855E+00 -0.9394580E-01
  0.1501280E+02  0.2986230E+01  0.0000000E+00  0.2851173E+00  0.2796788E+01  0.2683358E+00 -0.9637318E-01
  0.1464780E+02  0.4443360E+01  0.0000000E+00  0.2911574E+00  0.2793826E+01  0.2737276E+00 -0.9922612E-01
  0.1414170E+02  0.5857700E+01  0.0000000E+00  0.2966764E+00  0.2787953E+01  0.2783176E+00 -0.1027433E+00
  0.1349950E+02  0.7215620E+01  0.0000000E+00  0.3017514E+00  0.2779231E+01  0.2821563E+00 -0.1069659E+00
  0.1272720E+02  0.8504060E+01  0.0000000E+00  0.3073575E+00  0.2765311E+01  0.2858540E+00 -0.1129429E+00
  0.1183240E+02  0.9710600E+01  0.0000000E+00  0.3113325E+00  0.2750579E+01  0.2878341E+00 -0.1186569E+00
  0.1082360E+02  0.1082360E+02  0.0000000E+00  0.3126889E+00  0.2736571E+01  0.2873905E+00 -0.1232114E+00
  0.9710590E+01  0.1183240E+02  0.0000000E+00  0.3141667E+00  0.2720293E+01  0.2866954E+00 -0.1284775E+00
  0.8504060E+01  0.1272720E+02  0.0000000E+00  0.3140516E+00  0.2704292E+01  0.2844988E+00 -0.1329994E+00
  0.7215620E+01  0.1349950E+02  0.0000000E+00  0.3106116E+00  0.2690909E+01  0.2795969E+00 -0.1352966E+00
  0.5857700E+01  0.1414170E+02  0.0000000E+00  0.3097023E+00  0.2674351E+01  0.2765065E+00 -0.1394979E+00
  0.4443360E+01  0.1464780E+02  0.0000000E+00  0.3056189E+00  0.2662139E+01  0.2711595E+00 -0.1409803E+00
  0.2986230E+01  0.1501280E+02  0.0000000E+00  0.2998289E+00  0.2655757E+01  0.2651342E+00 -0.1400044E+00
  0.1500340E+01  0.1523320E+02  0.0000000E+00  0.2493667E+00  0.2683322E+01  0.2236367E+00 -0.1103193E+00
 -0.6690860E-06  0.1530690E+02  0.0000000E+00  0.1764875E+00  0.2742405E+01  0.1626116E+00 -0.6859539E-01
 -0.1500340E+01  0.1523320E+02  0.0000000E+00  0.7606194E-01  0.3108995E+01  0.7602154E-01 -0.2478992E-02
 -0.2986230E+01  0.1501280E+02  0.0000000E+00  0.1634786E+00 -0.1034494E+01 -0.8353113E-01  0.1405269E+00
 -0.4443360E+01  0.1464780E+02  0.0000000E+00  0.2340697E+00 -0.9245843E+00 -0.1409489E+00  0.1868743E+00
 -0.5857700E+01  0.1414170E+02  0.0000000E+00  0.2745062E+00 -0.8705615E+00 -0.1768910E+00  0.2099123E+00
 -0.7215620E+01  0.1349950E+02  0.0000000E+00  0.3032718E+00 -0.8306305E+00 -0.2045296E+00  0.2239228E+00
 -0.8504060E+01  0.1272720E+02  0.0000000E+00  0.3284987E+00 -0.7972977E+00 -0.2295032E+00  0.2350312E+00
 -0.9710590E+01  0.1183240E+02  0.0000000E+00  0.3466791E+00 -0.7688919E+00 -0.2491519E+00  0.2410596E+00
 -0.1082360E+02  0.1082360E+02  0.0000000E+00  0.3612707E+00 -0.7443541E+00 -0.2657239E+00  0.2447598E+00
 -0.1183240E+02  0.9710590E+01  0.0000000E+00  0.3759581E+00 -0.7238526E+00 -0.2816903E+00  0.2489881E+00
 -0.1272720E+02  0.8504060E+01  0.0000000E+00  0.3851839E+00 -0.7061167E+00 -0.2930816E+00  0.2499397E+00
 -0.1349950E+02  0.7215620E+01  0.0000000E+00  0.3911098E+00 -0.6912128E+00 -0.3013397E+00  0.2493216E+00
 -0.1414170E+02  0.5857690E+01  0.0000000E+00  0.3972780E+00 -0.6811102E+00 -0.3086350E+00  0.2501484E+00
 -0.1464780E+02  0.4443360E+01  0.0000000E+00  0.4032070E+00 -0.6753076E+00 -0.3147090E+00  0.2520598E+00
 -0.1501280E+02  0.2986230E+01  0.0000000E+00  0.4077862E+00 -0.6734122E+00 -0.3187657E+00  0.2543187E+00
 -0.1523320E+02  0.1500340E+01  0.0000000E+00  0.4105043E+00 -0.6752580E+00 -0.3204173E+00  0.2566057E+00
 -0.1530690E+02 -0.1338170E-05  0.0000000E+00  0.4117803E+00 -0.6811990E+00 -0.3198784E+00  0.2593083E+00
 -0.1523320E+02 -0.1500340E+01  0.0000000E+00  0.4117067E+00 -0.6914048E+00 -0.3171587E+00  0.2625124E+00
 -0.1501280E+02 -0.2986230E+01  0.0000000E+00  0.4105137E+00 -0.7062140E+00 -0.3123288E+00  0.2664061E+00
 -0.1464780E+02 -0.4443360E+01  0.0000000E+00  0.4078720E+00 -0.7255645E+00 -0.3051392E+00  0.2706467E+00
 -0.1414170E+02 -0.5857700E+01  0.0000000E+00  0.4041320E+00 -0.7499597E+00 -0.2957100E+00  0.2754601E+00
