        3200        3136
   0.167280E+02   0.000000E+00   0.000000E+00
   0.166475E+02   0.163963E+01   0.000000E+00
   0.164066E+02   0.326347E+01   0.000000E+00
   0.160077E+02   0.485588E+01   0.000000E+00
   0.154547E+02   0.640153E+01   0.000000E+00
   0.147528E+02   0.788553E+01   0.000000E+00
   0.139088E+02   0.929358E+01   0.000000E+00
   0.129309E+02   0.106121E+02   0.000000E+00
   0.118285E+02   0.118285E+02   0.000000E+00
   0.106121E+02   0.129309E+02   0.000000E+00
   0.929358E+01   0.139088E+02   0.000000E+00
   0.788552E+01   0.147528E+02   0.000000E+00
   0.640153E+01   0.154547E+02   0.000000E+00
   0.485588E+01   0.160077E+02   0.000000E+00
   0.326347E+01   0.164066E+02   0.000000E+00
   0.163963E+01   0.166475E+02   0.000000E+00
  -0.731204E-06   0.167280E+02   0.000000E+00
  -0.163963E+01   0.166475E+02   0.000000E+00
  -0.326347E+01   0.164066E+02   0.000000E+00
  -0.485588E+01   0.160077E+02   0.000000E+00
  -0.640153E+01   0.154547E+02   0.000000E+00
  -0.788553E+01   0.147528E+02   0.000000E+00
  -0.929358E+01   0.139088E+02   0.000000E+00
  -0.106121E+02   0.129309E+02   0.000000E+00
  -0.118285E+02   0.118285E+02   0.000000E+00
  -0.129309E+02   0.106121E+02   0.000000E+00
  -0.139088E+02   0.929358E+01   0.000000E+00
  -0.147528E+02   0.788552E+01   0.000000E+00
  -0.154547E+02   0.640153E+01   0.000000E+00
  -0.160077E+02   0.485588E+01   0.000000E+00
  -0.164066E+02   0.326347E+01   0.000000E+00
  -0.166475E+02   0.163963E+01   0.000000E+00
  -0.167280E+02  -0.146241E-05   0.000000E+00
  -0.166475E+02  -0.163963E+01   0.000000E+00
  -0.164066E+02  -0.326347E+01   0.000000E+00
  -0.160077E+02  -0.485589E+01   0.000000E+00
  -0.154547E+02  -0.640153E+01   0.000000E+00
  -0.147528E+02  -0.788553E+01   0.000000E+00
  -0.139088E+02  -0.929358E+01   0.000000E+00
  -0.129309E+02  -0.106121E+02   0.000000E+00
  -0.118285E+02  -0.118285E+02   0.000000E+00
  -0.106121E+02  -0.129309E+02   0.000000E+00
  -0.929358E+01  -0.139088E+02   0.000000E+00
  -0.788552E+01  -0.147528E+02   0.000000E+00
  -0.640152E+01  -0.154547E+02   0.000000E+00
  -0.485588E+01  -0.160077E+02   0.000000E+00
  -0.326347E+01  -0.164066E+02   0.000000E+00
  -0.163963E+01  -0.166475E+02   0.000000E+00
   0.199479E-06  -0.167280E+02   0.000000E+00
   0.163964E+01  -0.166475E+02   0.000000E+00
   0.326347E+01  -0.164066E+02   0.000000E+00
   0.485589E+01  -0.160077E+02   0.000000E+00
   0.640153E+01  -0.154547E+02   0.000000E+00
   0.788552E+01  -0.147528E+02   0.000000E+00
   0.929358E+01  -0.139088E+02   0.000000E+00
   0.106121E+02  -0.129309E+02   0.000000E+00
   0.118285E+02  -0.118285E+02   0.000000E+00
   0.129309E+02  -0.106121E+02   0.000000E+00
   0.139088E+02  -0.929358E+01   0.000000E+00
   0.147528E+02  -0.788552E+01   0.000000E+00
   0.154547E+02  -0.640153E+01   0.000000E+00
   0.160077E+02  -0.485588E+01   0.000000E+00
   0.164066E+02  -0.326347E+01   0.000000E+00
   0.166475E+02  -0.163962E+01   0.000000E+00
   0.167280E+02   0.000000E+00  -0.256896E-01
   0.166475E+02   0.163963E+01  -0.256896E-01
   0.164066E+02   0.326347E+01  -0.256896E-01
   0.160077E+02   0.485588E+01  -0.256896E-01
   0.154547E+02   0.640153E+01  -0.256896E-01
   0.147528E+02   0.788553E+01  -0.256896E-01
   0.139088E+02   0.929358E+01  -0.256896E-01
   0.129309E+02   0.106121E+02  -0.256896E-01
   0.118285E+02   0.118285E+02  -0.256896E-01
   0.106121E+02   0.129309E+02  -0.256896E-01
   0.929358E+01   0.139088E+02  -0.256896E-01
   0.788552E+01   0.147528E+02  -0.256896E-01
   0.640153E+01   0.154547E+02  -0.256896E-01
   0.485588E+01   0.160077E+02  -0.256896E-01
   0.326347E+01   0.164066E+02  -0.256896E-01
   0.163963E+01   0.166475E+02  -0.256896E-01
  -0.731204E-06   0.167280E+02  -0.256896E-01
  -0.163963E+01   0.166475E+02  -0.256896E-01
  -0.326347E+01   0.164066E+02  -0.256896E-01
  -0.485588E+01   0.160077E+02  -0.256896E-01
  -0.640153E+01   0.154547E+02  -0.256896E-01
  -0.788553E+01   0.147528E+02  -0.256896E-01
  -0.929358E+01   0.139088E+02  -0.256896E-01
  -0.106121E+02   0.129309E+02  -0.256896E-01
  -0.118285E+02   0.118285E+02  -0.256896E-01
  -0.129309E+02   0.106121E+02  -0.256896E-01
  -0.139088E+02   0.929358E+01  -0.256896E-01
  -0.147528E+02   0.788552E+01  -0.256896E-01
  -0.154547E+02   0.640153E+01  -0.256896E-01
  -0.160077E+02   0.485588E+01  -0.256896E-01
  -0.164066E+02   0.326347E+01  -0.256896E-01
  -0.166475E+02   0.163963E+01  -0.256896E-01
  -0.167280E+02  -0.146241E-05  -0.256896E-01
  -0.166475E+02  -0.163963E+01  -0.256896E-01
  -0.164066E+02  -0.326347E+01  -0.256896E-01
  -0.160077E+02  -0.485589E+01  -0.256896E-01
  -0.154547E+02  -0.640153E+01  -0.256896E-01
  -0.147528E+02  -0.788553E+01  -0.256896E-01
  -0.139088E+02  -0.929358E+01  -0.256896E-01
  -0.129309E+02  -0.106121E+02  -0.256896E-01
  -0.118285E+02  -0.118285E+02  -0.256896E-01
  -0.106121E+02  -0.129309E+02  -0.256896E-01
  -0.929358E+01  -0.139088E+02  -0.256896E-01
  -0.788552E+01  -0.147528E+02  -0.256896E-01
  -0.640152E+01  -0.154547E+02  -0.256896E-01
  -0.485588E+01  -0.160077E+02  -0.256896E-01
  -0.326347E+01  -0.164066E+02  -0.256896E-01
  -0.163963E+01  -0.166475E+02  -0.256896E-01
   0.199479E-06  -0.167280E+02  -0.256896E-01
   0.163964E+01  -0.166475E+02  -0.256896E-01
   0.326347E+01  -0.164066E+02  -0.256896E-01
   0.485589E+01  -0.160077E+02  -0.256896E-01
   0.640153E+01  -0.154547E+02  -0.256896E-01
   0.788552E+01  -0.147528E+02  -0.256896E-01
   0.929358E+01  -0.139088E+02  -0.256896E-01
   0.106121E+02  -0.129309E+02  -0.256896E-01
   0.118285E+02  -0.118285E+02  -0.256896E-01
   0.129309E+02  -0.106121E+02  -0.256896E-01
   0.139088E+02  -0.929358E+01  -0.256896E-01
   0.147528E+02  -0.788552E+01  -0.256896E-01
   0.154547E+02  -0.640153E+01  -0.256896E-01
   0.160077E+02  -0.485588E+01  -0.256896E-01
   0.164066E+02  -0.326347E+01  -0.256896E-01
   0.166475E+02  -0.163962E+01  -0.256896E-01
   0.167280E+02   0.000000E+00  -0.102732E+00
   0.166475E+02   0.163963E+01  -0.102732E+00
   0.164066E+02   0.326347E+01  -0.102732E+00
   0.160077E+02   0.485588E+01  -0.102732E+00
   0.154547E+02   0.640153E+01  -0.102732E+00
   0.147528E+02   0.788553E+01  -0.102732E+00
   0.139088E+02   0.929358E+01  -0.102732E+00
   0.129309E+02   0.106121E+02  -0.102732E+00
   0.118285E+02   0.118285E+02  -0.102732E+00
   0.106121E+02   0.129309E+02  -0.102732E+00
   0.929358E+01   0.139088E+02  -0.102732E+00
   0.788552E+01   0.147528E+02  -0.102732E+00
   0.640153E+01   0.154547E+02  -0.102732E+00
   0.485588E+01   0.160077E+02  -0.102732E+00
   0.326347E+01   0.164066E+02  -0.102732E+00
   0.163963E+01   0.166475E+02  -0.102732E+00
  -0.731204E-06   0.167280E+02  -0.102732E+00
  -0.163963E+01   0.166475E+02  -0.102732E+00
  -0.326347E+01   0.164066E+02  -0.102732E+00
  -0.485588E+01   0.160077E+02  -0.102732E+00
  -0.640153E+01   0.154547E+02  -0.102732E+00
  -0.788553E+01   0.147528E+02  -0.102732E+00
  -0.929358E+01   0.139088E+02  -0.102732E+00
  -0.106121E+02   0.129309E+02  -0.102732E+00
  -0.118285E+02   0.118285E+02  -0.102732E+00
