VARIABLES="Period (s)" "|Fx| (N/m)" "|Fy| (N/m)" "|Fz| (N/m)" "|Cx| (N)" "|Cy| (N)" "|Cz| (N)" "ang(Fx) (°)" "ang(Fy) (°)" "ang(Fz) (°)" "ang(Cx) (°)" "ang(Cy) (°)" "ang(Cz) (°)"
Zone t="Corps  1"
Zone t="Diffraction force - beta =   0.000 deg",I=     5,F=POINT
 0.5236  0.463457E+08 -0.373486E+01
 0.5890  0.570442E+08 -0.649581E+01
 0.6545  0.699139E+08 -0.111484E+02
 0.7200  0.838997E+08 -0.182989E+02
 0.7854  0.959849E+08 -0.280285E+02
Zone t="Diffraction force - beta =   9.000 deg",I=     5,F=POINT
 0.5236  0.457436E+08 -0.373477E+01
 0.5890  0.562853E+08 -0.649566E+01
 0.6545  0.689535E+08 -0.111484E+02
 0.7200  0.826976E+08 -0.182990E+02
 0.7854  0.945350E+08 -0.280294E+02
Zone t="Diffraction force - beta =  18.000 deg",I=     5,F=POINT
 0.5236  0.439593E+08 -0.373483E+01
 0.5890  0.540401E+08 -0.649580E+01
 0.6545  0.661181E+08 -0.111485E+02
 0.7200  0.791588E+08 -0.182998E+02
 0.7854  0.902821E+08 -0.280318E+02
Zone t="Diffraction force - beta =  27.000 deg",I=     5,F=POINT
 0.5236  0.410557E+08 -0.373482E+01
 0.5890  0.503983E+08 -0.649574E+01
 0.6545  0.615390E+08 -0.111488E+02
 0.7200  0.734757E+08 -0.183009E+02
 0.7854  0.834989E+08 -0.280356E+02
Zone t="Diffraction force - beta =  36.000 deg",I=     5,F=POINT
 0.5236  0.371317E+08 -0.373482E+01
 0.5890  0.454989E+08 -0.649578E+01
 0.6545  0.554157E+08 -0.111491E+02
 0.7200  0.659357E+08 -0.183024E+02
 0.7854  0.745874E+08 -0.280405E+02
Zone t="Diffraction force - beta =  45.000 deg",I=     5,F=POINT
 0.5236  0.323131E+08 -0.373478E+01
 0.5890  0.395146E+08 -0.649578E+01
 0.6545  0.479911E+08 -0.111495E+02
 0.7200  0.568808E+08 -0.183040E+02
 0.7854  0.640143E+08 -0.280461E+02
Zone t="Diffraction force - beta =  54.000 deg",I=     5,F=POINT
 0.5236  0.267433E+08 -0.373475E+01
 0.5890  0.326373E+08 -0.649586E+01
 0.6545  0.395258E+08 -0.111499E+02
 0.7200  0.466646E+08 -0.183057E+02
 0.7854  0.522439E+08 -0.280517E+02
Zone t="Diffraction force - beta =  63.000 deg",I=     5,F=POINT
 0.5236  0.205745E+08 -0.373473E+01
 0.5890  0.250629E+08 -0.649595E+01
 0.6545  0.302744E+08 -0.111503E+02
 0.7200  0.356153E+08 -0.183073E+02
 0.7854  0.396842E+08 -0.280569E+02
Zone t="Diffraction force - beta =  72.000 deg",I=     5,F=POINT
 0.5236  0.139606E+08 -0.373460E+01
 0.5890  0.169812E+08 -0.649593E+01
 0.6545  0.204700E+08 -0.111506E+02
 0.7200  0.240129E+08 -0.183085E+02
 0.7854  0.266543E+08 -0.280610E+02
Zone t="Diffraction force - beta =  81.000 deg",I=     5,F=POINT
 0.5236  0.705306E+07 -0.373466E+01
 0.5890  0.857107E+07 -0.649612E+01
 0.6545  0.103183E+08 -0.111509E+02
 0.7200  0.120819E+08 -0.183094E+02
 0.7854  0.133779E+08 -0.280638E+02
Zone t="Diffraction force - beta =  90.000 deg",I=     5,F=POINT
 0.5236  0.474827E+02 -0.924651E+02
 0.5890  0.280048E+02 -0.264839E+03
 0.6545  0.105922E+02 -0.248619E+03
 0.7200  0.177105E+01 -0.233919E+03
 0.7854  0.502666E+01 -0.132821E+03
Zone t="Diffraction force - beta =  99.000 deg",I=     5,F=POINT
 0.5236  0.705306E+07 -0.183735E+03
 0.5890  0.857107E+07 -0.186496E+03
 0.6545  0.103183E+08 -0.191151E+03
 0.7200  0.120819E+08 -0.198309E+03
 0.7854  0.133778E+08 -0.208064E+03
Zone t="Diffraction force - beta = 108.000 deg",I=     5,F=POINT
 0.5236  0.139606E+08 -0.183735E+03
 0.5890  0.169813E+08 -0.186496E+03
