Number of Problems:  110
      Number       Omega    Diff/Rad         Dir        Body        Mode
           1       0.524        Diff       0.000         ---         ---
           2       0.524        Diff       0.157         ---         ---
           3       0.524        Diff       0.314         ---         ---
           4       0.524        Diff       0.471         ---         ---
           5       0.524        Diff       0.628         ---         ---
           6       0.524        Diff       0.785         ---         ---
           7       0.524        Diff       0.942         ---         ---
           8       0.524        Diff       1.100         ---         ---
           9       0.524        Diff       1.257         ---         ---
          10       0.524        Diff       1.414         ---         ---
          11       0.524        Diff       1.571         ---         ---
          12       0.524        Diff       1.728         ---         ---
          13       0.524        Diff       1.885         ---         ---
          14       0.524        Diff       2.042         ---         ---
          15       0.524        Diff       2.199         ---         ---
          16       0.524        Diff       2.356         ---         ---
          17       0.524        Diff       2.513         ---         ---
          18       0.524        Diff       2.670         ---         ---
          19       0.524        Diff       2.827         ---         ---
          20       0.524        Diff       2.985         ---         ---
          21       0.524        Diff       3.142         ---         ---
          22       0.524         Rad         ---           1           1
          23       0.589        Diff       0.000         ---         ---
          24       0.589        Diff       0.157         ---         ---
          25       0.589        Diff       0.314         ---         ---
          26       0.589        Diff       0.471         ---         ---
          27       0.589        Diff       0.628         ---         ---
          28       0.589        Diff       0.785         ---         ---
          29       0.589        Diff       0.942         ---         ---
          30       0.589        Diff       1.100         ---         ---
          31       0.589        Diff       1.257         ---         ---
          32       0.589        Diff       1.414         ---         ---
          33       0.589        Diff       1.571         ---         ---
          34       0.589        Diff       1.728         ---         ---
          35       0.589        Diff       1.885         ---         ---
          36       0.589        Diff       2.042         ---         ---
          37       0.589        Diff       2.199         ---         ---
          38       0.589        Diff       2.356         ---         ---
          39       0.589        Diff       2.513         ---         ---
          40       0.589        Diff       2.670         ---         ---
          41       0.589        Diff       2.827         ---         ---
          42       0.589        Diff       2.985         ---         ---
          43       0.589        Diff       3.142         ---         ---
          44       0.589         Rad         ---           1           1
          45       0.655        Diff       0.000         ---         ---
          46       0.655        Diff       0.157         ---         ---
          47       0.655        Diff       0.314         ---         ---
          48       0.655        Diff       0.471         ---         ---
          49       0.655        Diff       0.628         ---         ---
          50       0.655        Diff       0.785         ---         ---
          51       0.655        Diff       0.942         ---         ---
          52       0.655        Diff       1.100         ---         ---
          53       0.655        Diff       1.257         ---         ---
          54       0.655        Diff       1.414         ---         ---
          55       0.655        Diff       1.571         ---         ---
          56       0.655        Diff       1.728         ---         ---
          57       0.655        Diff       1.885         ---         ---
          58       0.655        Diff       2.042         ---         ---
          59       0.655        Diff       2.199         ---         ---
          60       0.655        Diff       2.356         ---         ---
          61       0.655        Diff       2.513         ---         ---
          62       0.655        Diff       2.670         ---         ---
          63       0.655        Diff       2.827         ---         ---
          64       0.655        Diff       2.985         ---         ---
          65       0.655        Diff       3.142         ---         ---
          66       0.655         Rad         ---           1           1
          67       0.720        Diff       0.000         ---         ---
          68       0.720        Diff       0.157         ---         ---
          69       0.720        Diff       0.314         ---         ---
          70       0.720        Diff       0.471         ---         ---
          71       0.720        Diff       0.628         ---         ---
          72       0.720        Diff       0.785         ---         ---
          73       0.720        Diff       0.942         ---         ---
          74       0.720        Diff       1.100         ---         ---
          75       0.720        Diff       1.257         ---         ---
          76       0.720        Diff       1.414         ---         ---
          77       0.720        Diff       1.571         ---         ---
          78       0.720        Diff       1.728         ---         ---
          79       0.720        Diff       1.885         ---         ---
          80       0.720        Diff       2.042         ---         ---
          81       0.720        Diff       2.199         ---         ---
          82       0.720        Diff       2.356         ---         ---
          83       0.720        Diff       2.513         ---         ---
          84       0.720        Diff       2.670         ---         ---
          85       0.720        Diff       2.827         ---         ---
          86       0.720        Diff       2.985         ---         ---
          87       0.720        Diff       3.142         ---         ---
          88       0.720         Rad         ---           1           1
          89       0.785        Diff       0.000         ---         ---
          90       0.785        Diff       0.157         ---         ---
          91       0.785        Diff       0.314         ---         ---
          92       0.785        Diff       0.471         ---         ---
          93       0.785        Diff       0.628         ---         ---
          94       0.785        Diff       0.785         ---         ---
          95       0.785        Diff       0.942         ---         ---
          96       0.785        Diff       1.100         ---         ---
          97       0.785        Diff       1.257         ---         ---
          98       0.785        Diff       1.414         ---         ---
          99       0.785        Diff       1.571         ---         ---
         100       0.785        Diff       1.728         ---         ---
         101       0.785        Diff       1.885         ---         ---
         102       0.785        Diff       2.042         ---         ---
         103       0.785        Diff       2.199         ---         ---
         104       0.785        Diff       2.356         ---         ---
         105       0.785        Diff       2.513         ---         ---
         106       0.785        Diff       2.670         ---         ---
         107       0.785        Diff       2.827         ---         ---
         108       0.785        Diff       2.985         ---         ---
         109       0.785        Diff       3.142         ---         ---
         110       0.785         Rad         ---           1           1
