x (m),y (m),z (m),pressure (Pa)
 -4.020, -1.667,-10.000,  103232
 -4.118, -1.176,-10.000,  103199
 -4.118, -0.588,-10.000,  103160
 -4.118,  0.000,-10.000,  103147
 -4.118,  0.588,-10.000,  103160
 -4.118,  1.176,-10.000,  103199
 -4.020,  1.667,-10.000,  103232
 -3.529, -2.353,-10.000,  103237
 -3.529, -1.765,-10.000,  103147
 -3.529, -1.176,-10.000,  103088
 -3.529, -0.588,-10.000,  103054
 -3.529,  0.000,-10.000,  103043
 -3.529,  0.588,-10.000,  103054
 -3.529,  1.176,-10.000,  103088
 -3.529,  1.765,-10.000,  103147
 -3.529,  2.353,-10.000,  103237
 -2.941, -2.941,-10.000,  103253
 -2.941, -2.353,-10.000,  103141
 -2.941, -1.765,-10.000,  103062
 -2.941, -1.176,-10.000,  103008
 -2.941, -0.588,-10.000,  102978
 -2.941,  0.000,-10.000,  102968
 -2.941,  0.588,-10.000,  102978
 -2.941,  1.176,-10.000,  103008
 -2.941,  1.765,-10.000,  103062
 -2.941,  2.353,-10.000,  103141
 -2.941,  2.941,-10.000,  103253
 -2.353, -3.529,-10.000,  103316
 -2.353, -2.941,-10.000,  103175
 -2.353, -2.353,-10.000,  103074
 -2.353, -1.765,-10.000,  103000
 -2.353, -1.176,-10.000,  102951
 -2.353, -0.588,-10.000,  102922
 -2.353,  0.000,-10.000,  102913
 -2.353,  0.588,-10.000,  102922
 -2.353,  1.176,-10.000,  102951
 -2.353,  1.765,-10.000,  103000
 -2.353,  2.353,-10.000,  103074
 -2.353,  2.941,-10.000,  103175
 -2.353,  3.529,-10.000,  103316
 -1.667, -4.020,-10.000,  103387
 -1.765, -3.529,-10.000,  103251
 -1.765, -2.941,-10.000,  103122
 -1.765, -2.353,-10.000,  103026
 -1.765, -1.765,-10.000,  102957
 -1.765, -1.176,-10.000,  102909
 -1.765, -0.588,-10.000,  102882
 -1.765,  0.000,-10.000,  102873
 -1.765,  0.588,-10.000,  102882
 -1.765,  1.176,-10.000,  102909
 -1.765,  1.765,-10.000,  102957
 -1.765,  2.353,-10.000,  103026
 -1.765,  2.941,-10.000,  103122
 -1.765,  3.529,-10.000,  103251
 -1.667,  4.020,-10.000,  103387
 -1.176, -4.118,-10.000,  103378
 -1.176, -3.529,-10.000,  103209
 -1.176, -2.941,-10.000,  103086
 -1.176, -2.353,-10.000,  102994
 -1.176, -1.765,-10.000,  102927
 -1.176, -1.176,-10.000,  102881
 -1.176, -0.588,-10.000,  102855
 -1.176,  0.000,-10.000,  102846
 -1.176,  0.588,-10.000,  102855
 -1.176,  1.176,-10.000,  102881
 -1.176,  1.765,-10.000,  102927
 -1.176,  2.353,-10.000,  102994
 -1.176,  2.941,-10.000,  103086
 -1.176,  3.529,-10.000,  103209
 -1.176,  4.118,-10.000,  103378
 -0.588, -4.118,-10.000,  103348
 -0.588, -3.529,-10.000,  103186
 -0.588, -2.941,-10.000,  103066
 -0.588, -2.353,-10.000,  102976
 -0.588, -1.765,-10.000,  102910
 -0.588, -1.176,-10.000,  102865
 -0.588, -0.588,-10.000,  102839
 -0.588,  0.000,-10.000,  102830
 -0.588,  0.588,-10.000,  102839
 -0.588,  1.176,-10.000,  102865
 -0.588,  1.765,-10.000,  102910
 -0.588,  2.353,-10.000,  102976
 -0.588,  2.941,-10.000,  103066
 -0.588,  3.529,-10.000,  103186
 -0.588,  4.118,-10.000,  103348
  0.000, -4.118,-10.000,  103338
  0.000, -3.529,-10.000,  103178
  0.000, -2.941,-10.000,  103059
  0.000, -2.353,-10.000,  102970
  0.000, -1.765,-10.000,  102904
  0.000, -1.176,-10.000,  102859
  0.000, -0.588,-10.000,  102833
  0.000,  0.000,-10.000,  102825
  0.000,  0.588,-10.000,  102833
  0.000,  1.176,-10.000,  102859
  0.000,  1.765,-10.000,  102904
  0.000,  2.353,-10.000,  102970
  0.000,  2.941,-10.000,  103059
  0.000,  3.529,-10.000,  103178
  0.000,  4.118,-10.000,  103338
  0.588, -4.118,-10.000,  103348
  0.588, -3.529,-10.000,  103185
  0.588, -2.941,-10.000,  103065
  0.588, -2.353,-10.000,  102975
  0.588, -1.765,-10.000,  102910
  0.588, -1.176,-10.000,  102865
  0.588, -0.588,-10.000,  102838
  0.588,  0.000,-10.000,  102829
  0.588,  0.588,-10.000,  102838
  0.588,  1.176,-10.000,  102865
  0.588,  1.765,-10.000,  102910
  0.588,  2.353,-10.000,  102975
  0.588,  2.941,-10.000,  103065
  0.588,  3.529,-10.000,  103185
  0.588,  4.118,-10.000,  103348
  1.176, -4.118,-10.000,  103377
  1.176, -3.529,-10.000,  103208
  1.176, -2.941,-10.000,  103085
  1.176, -2.353,-10.000,  102993
  1.176, -1.765,-10.000,  102926
  1.176, -1.176,-10.000,  102880
  1.176, -0.588,-10.000,  102854
  1.176,  0.000,-10.000,  102845
  1.176,  0.588,-10.000,  102854
  1.176,  1.176,-10.000,  102880
  1.176,  1.765,-10.000,  102926
  1.176,  2.353,-10.000,  102993
  1.176,  2.941,-10.000,  103085
  1.176,  3.529,-10.000,  103208
  1.176,  4.118,-10.000,  103377
  1.667, -4.020,-10.000,  103385
  1.765, -3.529,-10.000,  103250
  1.765, -2.941,-10.000,  103120
  1.765, -2.353,-10.000,  103025
  1.765, -1.765,-10.000,  102955
  1.765, -1.176,-10.000,  102908
  1.765, -0.588,-10.000,  102880
  1.765,  0.000,-10.000,  102871
  1.765,  0.588,-10.000,  102880
  1.765,  1.176,-10.000,  102908
  1.765,  1.765,-10.000,  102955
  1.765,  2.353,-10.000,  103025
  1.765,  2.941,-10.000,  103120
  1.765,  3.529,-10.000,  103250
  1.667,  4.020,-10.000,  103385
  2.353, -3.529,-10.000,  103314
  2.353, -2.941,-10.000,  103173
  2.353, -2.353,-10.000,  103071
  2.353, -1.765,-10.000,  102998
  2.353, -1.176,-10.000,  102949
  2.353, -0.588,-10.000,  102920
  2.353,  0.000,-10.000,  102911
  2.353,  0.588,-10.000,  102920
  2.353,  1.176,-10.000,  102949
  2.353,  1.765,-10.000,  102998
  2.353,  2.353,-10.000,  103071
  2.353,  2.941,-10.000,  103173
  2.353,  3.529,-10.000,  103314
  2.941, -2.941,-10.000,  103251
  2.941, -2.353,-10.000,  103138
  2.941, -1.765,-10.000,  103059
  2.941, -1.176,-10.000,  103006
  2.941, -0.588,-10.000,  102975
  2.941,  0.000,-10.000,  102965
  2.941,  0.588,-10.000,  102975
  2.941,  1.176,-10.000,  103006
  2.941,  1.765,-10.000,  103059
  2.941,  2.353,-10.000,  103138
  2.941,  2.941,-10.000,  103251
  3.529, -2.353,-10.000,  103234
  3.529, -1.765,-10.000,  103144
  3.529, -1.176,-10.000,  103084
  3.529, -0.588,-10.000,  103050
  3.529,  0.000,-10.000,  103039
  3.529,  0.588,-10.000,  103050
  3.529,  1.176,-10.000,  103084
  3.529,  1.765,-10.000,  103144
  3.529,  2.353,-10.000,  103234
  4.020, -1.667,-10.000,  103229
  4.118, -1.176,-10.000,  103196
  4.118, -0.588,-10.000,  103156
  4.118,  0.000,-10.000,  103143
  4.118,  0.588,-10.000,  103156
  4.118,  1.176,-10.000,  103196
  4.020,  1.667,-10.000,  103229
 -4.195, -2.291,-10.000,  103392
 -4.272, -2.142,-10.000,  103384
 -4.537, -1.794,-10.000,  103409
 -4.109, -2.634,-10.000,  103455
 -3.647, -2.815,-10.000,  103365
 -3.610, -3.245,-10.000,  103486
 -3.989, -2.408,-10.000,  103356
 -3.915, -2.915,-10.000,  103473
 -4.016, -2.777,-10.000,  103462
 -3.495, -3.373,-10.000,  103499
 -4.262, -1.866,-10.000,  103327
 -4.782, -0.474,-10.000,  103342
